,LSF_ID,Province,District,number,Plot_area,Cropping_System,Crops_In_Plot,crop_name,crop area (m2),number trees, trees susceptible six months,Sowing date,harvesting data,seeds type,quantity seeds sown unity,quantity seeds sown,qualitiy of seeds purchased,Amount purchased,quanitiy improved seeds unity,quanitiy improved seeds ,quanitiy improved seeds purchased,improved seeds price,improved seeds origin,quanitiy harvested (kg),remaining harvested,total harvested,Production Status,Produce sold,farm gate price of crop,crop_group
341,51013.0,East,Rwamagana,9.0,29639.303,Pure,1.0,Napia grass for fodder,29639.303,,,Not applicable,Before 01/12,Traditional seeds,NA,,,0.0,,,,,,57960.0,11592.0,69552.0,Insufficient rainfall,No,,Other crops
342,51014.0,East,Rwamagana,2.0,142166.42,Pure,1.0,Napia grass for fodder,142166.42,,,Before 01/09,Before 01/12,Traditional seeds,NA,,,0.0,,,,,,146650.0,86100.0,232750.0,Heavy rainfall,No,,Other crops
343,51014.0,East,Rwamagana,3.0,65896.195,Pure,1.0,Napia grass for fodder,65896.195,,,Before 01/09,between 01-15 /12,Traditional seeds,NA,,,0.0,,,,,,86100.0,0.0,86100.0,Insufficient rainfall,No,,Other crops
344,51015.0,East,Rwamagana,1.0,78314.75,Pure,1.0,Napia grass for fodder,78314.75,,,Before 01/09,Before 01/12,Traditional seeds,NA,,,0.0,,,,,,40000.0,20000.0,60000.0,Insufficient rainfall,No,,Other crops
345,51015.0,East,Rwamagana,4.0,15530.549,Pure,1.0,Napia grass for fodder,15530.549,,,Before 01/09,Before 01/12,Traditional seeds,NA,,,0.0,,,,,,28800.0,30800.0,59600.0,Insufficient rainfall,No,,Other crops
346,51016.0,East,Rwamagana,1.0,10785.322,Pure,1.0,Cooking banana,10785.322,625.0,51.0,Not applicable,Before 01/12,Traditional seeds,NA,,,0.0,,,,,,896.0,0.0,896.0,Insufficient rainfall,No,,Cooking banana
347,51016.0,East,Rwamagana,2.0,29311.273,Pure,1.0,Maize,29311.273,,,Between 01-15/10,Between 01-28/02,Improved seeds,,,,,Kg,53.0,53.0,15635.0,Recognized seed multipliers/NGO,8790.0,0.0,8790.0,Insufficient rainfall,No,,Maize
348,51016.0,East,Rwamagana,3.0,9014.61,Pure,1.0,Maize,9014.61,,,Between 01-15/10,Between 01-28/02,Improved seeds,,,,,Kg,17.0,17.0,3400.0,Recognized seed multipliers/NGO,0.0,2790.0,2790.0,Insufficient rainfall,No,,Maize
349,51016.0,East,Rwamagana,4.0,11925.811,Pure,1.0,Maize,11925.811,,,Between 01-15/10,Between 01-28/02,Improved seeds,,,,,Kg,22.0,22.0,6490.0,Recognized seed multipliers/NGO,0.0,1250.0,1250.0,Insufficient rainfall,No,,Maize
350,51016.0,East,Rwamagana,6.0,10669.686,Pure,1.0,Maize,10669.686,,,Between 01-15/10,Between 01-28/02,Improved seeds,,,,,Kg,20.0,20.0,5900.0,Recognized seed multipliers/NGO,0.0,1605.0,1605.0,Insufficient rainfall,No,,Maize
351,51016.0,East,Rwamagana,7.0,3126.7605,Pure,1.0,Cabbage,3126.7605,,,Before 01/09,Before 01/12,Improved seeds,,,,,g,200.0,200.0,8000.0,Recognized seed multipliers/NGO,2118.0,0.0,2118.0,Insufficient rainfall,No,,vegetables
352,51016.0,East,Rwamagana,8.0,3536.7605,Pure,1.0,Sweet potato,3536.7605,,,Between 01-15/10,After February,Traditional seeds,NA,,,0.0,,,,,,0.0,3400.0,3400.0,Insufficient rainfall,No,,Sweet potato
353,51016.0,East,Rwamagana,9.0,868.82385,Mixed,4.0,Amaranth,173.76477,,,After 31/10,between 01-15 /12,Improved seeds,,,,,g,50.0,50.0,2000.0,Shops of improved seeds,20.0,0.0,20.0,Good harvest as it was expected,No,,vegetables
354,51016.0,East,Rwamagana,9.0,868.82385,Mixed,4.0,Celery,260.64716,,,Between 01-15/10,between 01-15/01,Improved seeds,,,,,g,50.0,50.0,3000.0,Shops of improved seeds,25.0,0.0,25.0,Good harvest as it was expected,No,,vegetables
355,51016.0,East,Rwamagana,9.0,868.82385,Mixed,4.0,Leek,173.76477,,,After 31/10,Between 01-28/02,Improved seeds,,,,,g,50.0,50.0,3000.0,Shops of improved seeds,0.0,35.0,35.0,Good harvest as it was expected,No,,vegetables
356,51016.0,East,Rwamagana,9.0,868.82385,Mixed,4.0,Letus,260.64716,,,After 31/10,Between 01-28/02,Improved seeds,,,,,g,50.0,50.0,2500.0,Shops of improved seeds,0.0,80.0,80.0,Good harvest as it was expected,No,,vegetables
357,51016.0,East,Rwamagana,11.0,113.662025,Pure,1.0,Sweet potato,113.662025,,,After 31/10,After February,Traditional seeds,NA,,,0.0,,,,,,0.0,100.0,100.0,Insufficient rainfall,No,,Sweet potato
358,51016.0,East,Rwamagana,12.0,5372.932,Pure,1.0,Maize,5372.932,,,Between 01-15/10,Between 01-28/02,Improved seeds,,,,,Kg,10.0,10.0,2950.0,Recognized seed multipliers/NGO,0.0,1620.0,1620.0,Insufficient rainfall,No,,Maize
359,51017.0,East,Rwamagana,6.0,14798.848,Mixed,2.0,Bush bean,11839.077,,,Between 01-15/09,between 16- 31/01,Improved seeds,,,,,Kg,150.0,0.0,0.0,RAB/NAEB/SECTOR,1458.0,0.0,1458.0,Insufficient rainfall,No,,Bush bean
360,51017.0,East,Rwamagana,6.0,14798.848,Mixed,2.0,Irish potato,2959.7693,,,Before 01/09,between 16- 31/01,Traditional seeds,g,250.0,250.0,87500.0,,,,,,3100.0,0.0,3100.0,Insufficient rainfall,Yes,200.0,Irish potato
361,51017.0,East,Rwamagana,7.0,65493.81,Pure,1.0,Maize,65493.81,,,Between 01-15/09,Between 01-28/02,Improved seeds,,,,,Kg,149.25,0.0,0.0,RAB/NAEB/SECTOR,0.0,19980.0,19980.0,Insufficient rainfall,No,,Maize
362,51017.0,East,Rwamagana,8.0,26080.83,Pure,1.0,Bush bean,26080.83,,,Between 01-15/09,between 16- 31/01,Improved seeds,,,,,Kg,400.0,0.0,0.0,RAB/NAEB/SECTOR,584.0,0.0,584.0,Insufficient rainfall,No,,Bush bean
363,51017.0,East,Rwamagana,9.0,14983.679,Pure,1.0,Bush bean,14983.679,,,Between 01-15/09,between 16- 31/01,Improved seeds,,,,,Kg,230.0,0.0,0.0,RAB/NAEB/SECTOR,460.4,0.0,460.4,Insufficient rainfall,No,,Bush bean
