,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,inorganic fertilizer type,inorganic fertilizer used (kg),source inorganic fertilizer
99,12010.0,Kigali,Gasabo,19.0,410.037229194,1,150.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
100,12010.0,Kigali,Gasabo,19.0,410.037229194,1,150.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
101,12010.0,Kigali,Gasabo,20.0,16386.5282411,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
102,12010.0,Kigali,Gasabo,21.0,1207.07391005,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
103,12010.0,Kigali,Gasabo,22.0,548.798919534,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
104,12010.0,Kigali,Gasabo,24.0,8103.5077236,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
105,12010.0,Kigali,Gasabo,25.0,14693.5136434,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
106,12010.0,Kigali,Gasabo,27.0,480.369632721,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
107,12010.0,Kigali,Gasabo,30.0,1971.58499752,1,1500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
108,12010.0,Kigali,Gasabo,30.0,1971.58499752,1,1500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
109,12010.0,Kigali,Gasabo,30.0,1971.58499752,1,1500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
110,12010.0,Kigali,Gasabo,33.0,2942.99257804,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
111,12010.0,Kigali,Gasabo,36.0,2145.61963684,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
112,12010.0,Kigali,Gasabo,37.0,2155.90551787,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
113,12010.0,Kigali,Gasabo,38.0,88902.668013,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
114,12010.0,Kigali,Gasabo,43.0,1587.28545664,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
115,13001.0,Kigali,Kicukiro,1.0,49521.7185128,1,4410.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
116,13001.0,Kigali,Kicukiro,1.0,49521.7185128,1,4410.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
117,13001.0,Kigali,Kicukiro,1.0,49521.7185128,1,4410.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
118,13001.0,Kigali,Kicukiro,3.0,12313.9592992,1,2000.0,1,NPK 17-17-17,15000.0,Government(MINAGRI/RAB/NAEB/District
119,13001.0,Kigali,Kicukiro,7.0,2251.63113444,1,520.0,1,NPK 17-17-17,4800.0,Market
120,13002.0,Kigali,Kicukiro,1.0,25728.7348378,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
121,13002.0,Kigali,Kicukiro,2.0,880.093763267,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
122,13002.0,Kigali,Kicukiro,4.0,6416.12943689,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
123,13002.0,Kigali,Kicukiro,5.0,41663.0630456,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
124,13003.0,Kigali,Kicukiro,1.0,3492.96941898,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
125,13003.0,Kigali,Kicukiro,1.0,3492.96941898,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
126,13003.0,Kigali,Kicukiro,1.0,3492.96941898,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
127,13003.0,Kigali,Kicukiro,2.0,118.936436328,1,720.0,1,Lliquid urea,1.0,Market
128,13003.0,Kigali,Kicukiro,2.0,118.936436328,1,720.0,1,NPK 17-17-17,8.0,Market
129,13003.0,Kigali,Kicukiro,3.0,147.851918069,1,720.0,1,Lliquid urea,1.0,Market
130,13003.0,Kigali,Kicukiro,3.0,147.851918069,1,720.0,1,NPK 17-17-17,8.0,Market
131,13003.0,Kigali,Kicukiro,5.0,149.210880836,1,720.0,1,NPK 17-17-17,8.0,Other place (Specify)
132,13003.0,Kigali,Kicukiro,5.0,149.210880836,1,720.0,1,Lliquid urea,1.0,Other place (Specify)
133,13003.0,Kigali,Kicukiro,6.0,146.191206304,1,720.0,1,NPK 17-17-17,8.0,Other place (Specify)
134,13003.0,Kigali,Kicukiro,6.0,146.191206304,1,720.0,1,Lliquid urea,1.0,Other place (Specify)
135,13003.0,Kigali,Kicukiro,7.0,224.079294848,1,1200.0,1,NPK 17-17-17,12.0,Other place (Specify)
136,13003.0,Kigali,Kicukiro,7.0,224.079294848,1,1200.0,1,Lliquid urea,1.0,Other place (Specify)
137,13004.0,Kigali,Kicukiro,1.0,4175.97431404,1,2500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
138,13004.0,Kigali,Kicukiro,1.0,4175.97431404,1,2500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
139,13004.0,Kigali,Kicukiro,1.0,4175.97431404,1,2500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
140,13004.0,Kigali,Kicukiro,2.0,3677.16621728,1,1800.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
141,13004.0,Kigali,Kicukiro,2.0,3677.16621728,1,1800.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
142,13004.0,Kigali,Kicukiro,2.0,3677.16621728,1,1800.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
143,13004.0,Kigali,Kicukiro,3.0,1012.68374252,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
