,LSF_ID,Province,District,Plot No,Plot area(m^2),Cropping_System,Crops_In_Plot,crop_name,crop area (m2),seeds type,quantity seeds sown,quanitiy improved seeds,quanitiy harvested (kg),total harvested,crop_proportion
72,12010.0,Kigali,Gasabo,20.0,16386.527,Pure,1.0,Napia grass for fodder,16386.527,Traditional seeds,0.0,0.0,27000.0,41000.0,1.0
73,12010.0,Kigali,Gasabo,21.0,1207.074,Pure,1.0,Mucuna,1207.074,Traditional seeds,2.0,0.0,302.0,302.0,1.0
74,12010.0,Kigali,Gasabo,22.0,548.79895,Pure,1.0,Sweet potato,548.79895,Traditional seeds,0.0,0.0,768.0,768.0,1.0
75,12010.0,Kigali,Gasabo,24.0,8103.508,Pure,1.0,Sweet potato,8103.508,Traditional seeds,0.0,0.0,11340.0,11340.0,1.0
76,12010.0,Kigali,Gasabo,25.0,14693.514,Pure,1.0,Napia grass for fodder,14693.514,Traditional seeds,0.0,0.0,36750.0,36750.0,1.0
77,12010.0,Kigali,Gasabo,27.0,480.36963,Pure,1.0,Mucuna,480.36963,Traditional seeds,0.5,0.0,120.0,120.0,1.0
78,12010.0,Kigali,Gasabo,30.0,1971.585,Pure,1.0,Maize,1971.585,Improved seeds,0.0,10.0,0.0,550.0,1.0
79,12010.0,Kigali,Gasabo,33.0,2942.9924,Pure,1.0,Napia grass for fodder,2942.9924,Traditional seeds,0.0,0.0,7250.0,7250.0,1.0
80,12010.0,Kigali,Gasabo,36.0,2145.6196,Pure,1.0,Napia grass for fodder,2145.6196,Traditional seeds,0.0,0.0,5365.0,5365.0,1.0
81,12010.0,Kigali,Gasabo,37.0,2155.9055,Pure,1.0,Mucuna,2155.9055,Traditional seeds,4.0,0.0,539.0,539.0,1.0
82,12010.0,Kigali,Gasabo,38.0,88902.664,Pure,1.0,Napia grass for fodder,88902.664,Traditional seeds,0.0,0.0,222250.0,222250.0,1.0
83,12010.0,Kigali,Gasabo,43.0,1587.2854,Pure,1.0,Napia grass for fodder,1587.2854,Traditional seeds,0.0,0.0,3968.0,3968.0,1.0
84,13001.0,Kigali,Kicukiro,1.0,49521.72,Mixed,2.0,Cooking banana,38516.895,Traditional seeds,0.0,0.0,560.0,560.0,0.77777785
85,13001.0,Kigali,Kicukiro,1.0,49521.72,Mixed,2.0,Dessert banana,11004.826,Traditional seeds,0.0,0.0,0.0,50.0,0.22222222
86,13001.0,Kigali,Kicukiro,3.0,12313.96,Pure,1.0,Maize for fodder,12313.96,Improved seeds,0.0,50.0,9000.0,9000.0,1.0
87,13001.0,Kigali,Kicukiro,7.0,2251.631,Pure,1.0,Maize for fodder,225.16312,Improved seeds,0.0,3.0,0.0,380.0,0.1
88,13002.0,Kigali,Kicukiro,1.0,25728.736,Pure,1.0,Pineapple,20582.988,Traditional seeds,0.0,0.0,0.0,2500.0,0.79999995
89,13002.0,Kigali,Kicukiro,2.0,880.0938,Pure,1.0,Macadamia,880.0938,Improved seeds,0.0,0.0,30.0,40.0,1.0
90,13002.0,Kigali,Kicukiro,4.0,6416.1294,Pure,1.0,Macadamia,6416.1294,Improved seeds,0.0,0.0,50.0,60.0,1.0
91,13002.0,Kigali,Kicukiro,5.0,41663.066,Pure,1.0,Macadamia,41663.066,Improved seeds,0.0,0.0,1500.0,1800.0,1.0
92,13003.0,Kigali,Kicukiro,2.0,118.93644,Pure,1.0,Sweet pepper,118.93644,Improved seeds,0.0,0.0,145.0,945.0,1.0
93,13003.0,Kigali,Kicukiro,3.0,147.85191,Pure,1.0,Tomato,147.85191,Improved seeds,0.0,0.0,300.0,1000.0,1.0
94,13003.0,Kigali,Kicukiro,5.0,149.21088,Pure,1.0,Tomato,149.21088,Improved seeds,0.0,0.0,300.0,1000.0,1.0
95,13003.0,Kigali,Kicukiro,6.0,146.19121,Pure,1.0,Sweet pepper,146.19121,Improved seeds,0.0,0.0,145.0,945.0,1.0
96,13003.0,Kigali,Kicukiro,7.0,224.0793,Pure,1.0,Tomato,224.0793,Improved seeds,0.0,0.0,1200.0,1700.0,1.0
97,13005.0,Kigali,Kicukiro,7.0,2718.8628,Mixed,2.0,Cooking banana,1631.3177,Traditional seeds,0.0,0.0,375.0,465.0,0.6
98,13005.0,Kigali,Kicukiro,7.0,2718.8628,Mixed,2.0,Dessert banana,1087.5452,Traditional seeds,0.0,0.0,45.0,45.0,0.4
99,13005.0,Kigali,Kicukiro,9.0,2742.0857,Pure,1.0,Cooking banana,2742.0857,Traditional seeds,0.0,0.0,150.0,285.0,1.0
100,13005.0,Kigali,Kicukiro,13.0,24427.59,Pure,1.0,French bean,24427.59,Improved seeds,0.0,125.0,3427.0,10427.0,1.0
101,13006.0,Kigali,Kicukiro,12.0,139779.64,Pure,1.0,Bush bean,139779.64,Traditional seeds,740.0,0.0,6078.0,6078.0,1.0
102,13006.0,Kigali,Kicukiro,13.0,71271.055,Pure,1.0,Maize,71271.055,Improved seeds,0.0,170.0,8000.0,8000.0,1.0
103,13006.0,Kigali,Kicukiro,15.0,48095.75,Pure,1.0,Maize,48095.75,Improved seeds,0.0,100.0,4571.42,4571.42,1.0
104,13006.0,Kigali,Kicukiro,20.0,10325.432,Pure,1.0,Maize,10325.432,Improved seeds,0.0,25.0,800.0,800.0,1.0
105,21001.0,South,Nyanza,1.0,63906.156,Mixed,2.0,Cooking banana,47290.555,Improved seeds,0.0,0.0,914.0,959.0,0.74
106,21001.0,South,Nyanza,1.0,63906.156,Mixed,2.0,Banana for beer,16615.602,Improved seeds,0.0,0.0,391.0,402.0,0.26000002
107,21001.0,South,Nyanza,4.0,19159.928,Mixed,3.0,Carrot,4033.669,Improved seeds,0.0,600000.0,275.0,275.0,0.21052632
108,21001.0,South,Nyanza,4.0,19159.928,Mixed,3.0,Amaranth,12101.007,Traditional seeds,0.0,0.0,14080.0,14080.0,0.6315789
109,21001.0,South,Nyanza,4.0,19159.928,Mixed,3.0,Other seasonal vegetable,3025.2517,Traditional seeds,0.0,0.0,750.0,750.0,0.15789473
110,21001.0,South,Nyanza,5.0,6067.0615,Pure,1.0,Cabbage,6067.0615,Improved seeds,0.0,560000.0,9710.0,9710.0,1.0
111,21001.0,South,Nyanza,19.0,93421.16,Pure,1.0,Maize,93421.16,Improved seeds,0.0,224.0,36300.0,36300.0,1.0
112,21002.0,South,Nyanza,2.0,1516351.0,Pure,1.0,Paddy rice,1516351.0,Improved seeds,0.0,883.0,36267.0,36267.0,1.0
113,21007.0,South,Nyanza,1.0,1791965.6,Pure,1.0,Paddy rice,1791965.6,Improved seeds,0.0,4480.75,806535.0,806535.0,1.0
114,22001.0,South,Gisagara,1.0,2810.8872,Pure,1.0,Maize,2810.8872,Improved seeds,0.0,2.5,5000.0,20000.0,1.0
115,22001.0,South,Gisagara,5.0,8557.484,Mixed,2.0,Soybean ,427.87424,Traditional seeds,3.0,0.0,0.0,180.0,0.05
116,22001.0,South,Gisagara,5.0,8557.484,Mixed,2.0,Banana for beer,8557.484,Improved seeds,0.0,0.0,33000.0,36000.0,1.0
117,22002.0,South,Gisagara,1.0,450272.9,Pure,1.0,Maize,450272.9,Improved seeds,0.0,1537.5,0.0,80000.0,1.0
118,22003.0,South,Gisagara,1.0,736061.4,Pure,1.0,Paddy rice,736061.4,Improved seeds,0.0,2100.0,315000.0,315000.0,1.0
119,22004.0,South,Gisagara,1.0,14819546.0,Pure,1.0,Paddy rice,14819546.0,Improved seeds,0.0,25325.0,1217304.0,1217304.0,1.0
120,22005.0,South,Gisagara,1.0,1176549.5,Pure,1.0,Paddy rice,1176549.5,Improved seeds,0.0,3330.0,499500.0,499500.0,1.0
121,22006.0,South,Gisagara,6.0,62838.844,Pure,1.0,Banana for beer,5236.5703,Traditional seeds,0.0,0.0,85.0,205.0,0.083333336
122,22006.0,South,Gisagara,31.0,4494.988,Pure,1.0,Other annual crop,4494.988,Traditional seeds,0.0,0.0,0.0,140000.0,1.0
123,22006.0,South,Gisagara,32.0,706.7229,Pure,1.0,Napia grass for fodder,706.7229,Traditional seeds,0.0,0.0,0.0,700.0,1.0
124,22007.0,South,Gisagara,1.0,4143304.8,Pure,1.0,Paddy rice,4143304.8,Improved seeds,0.0,12518.0,932405.0,1248961.0,1.0
125,22008.0,South,Gisagara,1.0,1133312.8,Pure,1.0,Maize,1133312.8,Improved seeds,0.0,1850.0,162000.0,162000.0,1.0
126,22009.0,South,Gisagara,1.0,505215.72,Pure,1.0,Maize,505215.72,Improved seeds,0.0,1200.0,80000.0,80000.0,1.0
127,22009.0,South,Gisagara,2.0,924795.75,Pure,1.0,Maize,924795.75,Improved seeds,0.0,600.0,0.0,40000.0,1.0
128,22010.0,South,Gisagara,2.0,1928146.2,Pure,1.0,Paddy rice,1928146.2,Both(Trad and Improved,1121.4,8223.6,844900.0,844900.0,1.0
129,22011.0,South,Gisagara,1.0,1021967.9,Pure,1.0,Maize,1021967.9,Improved seeds,0.0,4000.0,192000.0,192000.0,1.0
130,22012.0,South,Gisagara,1.0,1087999.4,Pure,1.0,Paddy rice,1087999.4,Improved seeds,0.0,3179.7,466356.0,466356.0,1.0
131,22013.0,South,Gisagara,1.0,4668098.5,Pure,1.0,Paddy rice,4668098.5,Improved seeds,0.0,1327.0,377463.0,589788.6,1.0
132,22014.0,South,Gisagara,1.0,670168.94,Pure,1.0,Paddy rice,670168.94,Traditional seeds,1641.0,0.0,82050.0,82050.0,1.0
133,22015.0,South,Gisagara,1.0,3781188.2,Pure,1.0,Paddy rice,3781188.2,Both(Trad and Improved,9610.0,500.0,90000.0,1893940.0,1.0
134,23001.0,South,Nyaruguru,1.0,32469.338,Pure,1.0,Irish potato,32469.338,Improved seeds,0.0,3982.5,33194.0,65313.0,1.0
135,23001.0,South,Nyaruguru,11.0,305.60037,Pure,1.0,Tree tomato,305.60037,Improved seeds,0.0,0.0,600.0,900.0,1.0
136,24001.0,South,Huye,1.0,542754.2,Pure,1.0,Paddy rice,542754.2,Traditional seeds,1665.0,0.0,121082.0,221082.0,1.0
137,24002.0,South,Huye,1.0,512763.7,Pure,1.0,Paddy rice,512763.7,Traditional seeds,1380.0,0.0,80000.0,254771.0,1.0
138,24004.0,South,Gisagara,1.0,446237.6,Pure,1.0,Paddy rice,446237.6,Traditional seeds,1980.0,0.0,46675.0,76675.0,1.0
139,24004.0,South,Gisagara,39.0,3583.7263,Pure,1.0,Other seasonal vegetable,2303.824,Traditional seeds,0.0,0.0,3300.0,3600.0,0.64285713
140,24004.0,South,Gisagara,62.0,39101.76,Mixed,2.0,Cauliflower,5865.2646,Traditional seeds,0.0,0.0,0.0,10.0,0.15
141,24004.0,South,Gisagara,62.0,39101.76,Mixed,2.0,Amaranth,23461.059,Traditional seeds,0.0,0.0,6600.0,13200.0,0.6
142,24004.0,South,Gisagara,68.0,5506.0117,Pure,1.0,Napia grass,5506.0117,Traditional seeds,0.0,0.0,2500.0,3200.0,1.0
143,24005.0,South,Huye,1.0,395138.22,Pure,1.0,Paddy rice,395138.22,Traditional seeds,1200.0,0.0,113850.0,150000.0,1.0
144,24006.0,South,Huye,1.0,1437302.0,Pure,1.0,Paddy rice,1437302.0,Improved seeds,0.0,5504.0,550400.0,550400.0,1.0
145,24007.0,South,Huye,1.0,1135833.8,Pure,1.0,Paddy rice,1135833.8,Traditional seeds,4169.0,0.0,100000.0,300000.0,1.0
146,24008.0,South,Huye,1.0,1243641.9,Pure,1.0,Paddy rice,1243641.9,Improved seeds,0.0,3531.0,294340.0,494340.0,1.0
147,24010.0,South,Huye,1.0,408310.75,Pure,1.0,Paddy rice,408310.75,Traditional seeds,1633.0,0.0,139500.0,140000.0,1.0
148,24011.0,South,Huye,1.0,534606.5,Pure,1.0,Paddy rice,534606.5,Traditional seeds,1270.0,0.0,225625.0,237500.0,1.0
149,24012.0,South,Huye,1.0,805541.3,Pure,1.0,Paddy rice,805541.3,Traditional seeds,4717.8,0.0,247942.0,266604.0,1.0
150,24013.0,South,Huye,1.0,461095.06,Pure,1.0,Paddy rice,461095.06,Traditional seeds,2066.5,0.0,125000.0,165320.0,1.0
151,24014.0,South,Huye,2.0,458589.53,Pure,1.0,Paddy rice,458589.53,Traditional seeds,1245.0,0.0,188600.0,188600.0,1.0
152,24015.0,South,Huye,1.0,521955.06,Pure,1.0,Paddy rice,521955.06,Both(Trad and Improved,13746.0,19107.0,29546.5,98254.5,1.0
153,24016.0,South,Huye,1.0,628220.5,Pure,1.0,Maize,628220.5,Improved seeds,0.0,811.8,0.0,91648.0,1.0
154,25001.0,South,Nyamagabe,3.0,199708.31,Pure,1.0,Irish potato,199708.31,Improved seeds,0.0,50000.0,166000.0,232000.0,1.0
155,25001.0,South,Nyamagabe,6.0,16339.447,Mixed,2.0,Maize,8169.7236,Traditional seeds,75.0,0.0,0.0,1700.0,0.5
156,25001.0,South,Nyamagabe,6.0,16339.447,Mixed,2.0,Climbing bean,8169.7236,Improved seeds,0.0,125.0,0.0,1000.0,0.5
157,26001.0,South,Ruhango,4.0,2257.1958,Pure,1.0,Dessert banana,2257.1958,Traditional seeds,0.0,0.0,150.0,150.0,1.0
158,26001.0,South,Ruhango,7.0,3999.9827,Pure,1.0,Cassava,3999.9827,Traditional seeds,0.0,0.0,3000.0,6200.0,1.0
159,26001.0,South,Ruhango,8.0,17317.777,Pure,1.0,Bush bean,17317.777,Traditional seeds,200.0,0.0,1120.0,1120.0,1.0
160,26001.0,South,Ruhango,14.0,828.36835,Pure,1.0,Groundnut,828.36835,Traditional seeds,3.0,0.0,30.0,30.0,1.0
161,26001.0,South,Ruhango,18.0,15237.539,Pure,1.0,Cassava,15237.539,Traditional seeds,0.0,0.0,3000.0,6200.0,1.0
162,26002.0,South,Ruhango,1.0,878113.6,Pure,1.0,Paddy rice,878113.6,Traditional seeds,3600.0,0.0,380000.0,380000.0,1.0
163,26003.0,South,Ruhango,1.0,551080.3,Pure,1.0,Paddy rice,551080.3,Improved seeds,0.0,2556.0,187000.0,187000.0,1.0
164,26005.0,South,Ruhango,1.0,3904869.0,Pure,1.0,Paddy rice,3904869.0,Traditional seeds,14631.0,0.0,932000.0,932000.0,1.0
165,26006.0,South,Ruhango,1.0,384504.16,Pure,1.0,Paddy rice,384504.16,Traditional seeds,3573.6,0.0,65000.0,65000.0,1.0
166,26007.0,South,Ruhango,1.0,289484.6,Pure,1.0,Paddy rice,289484.6,Traditional seeds,4412.0,0.0,66180.0,66180.0,1.0
167,26008.0,South,Ruhango,1.0,146778.25,Pure,1.0,Paddy rice,146778.25,Traditional seeds,587.6,0.0,29380.0,29380.0,1.0
168,26010.0,South,Ruhango,1.0,712994.94,Pure,1.0,Paddy rice,712994.94,Traditional seeds,3500.0,0.0,150000.0,150000.0,1.0
169,27001.0,South,Muhanga,2.0,319693.62,Pure,1.0,Maize,319693.62,Improved seeds,0.0,600.0,0.0,75000.0,1.0
170,27001.0,South,Muhanga,6.0,779080.44,Pure,1.0,Paddy rice,779080.44,Both(Trad and Improved,420.0,1650.0,312825.0,312825.0,1.0
171,27002.0,South,Muhanga,1.0,606744.56,Pure,1.0,Paddy rice,606744.56,Traditional seeds,1781.0,0.0,185000.0,185000.0,1.0
172,27002.0,South,Muhanga,4.0,132226.34,Pure,1.0,Maize,132226.34,Improved seeds,0.0,850.0,0.0,30000.0,1.0
173,27003.0,South,Muhanga,1.0,2041793.6,Pure,1.0,Maize,2041793.6,Improved seeds,0.0,5123.5,0.0,563585.0,1.0
174,28001.0,South,Kamonyi,1.0,594811.9,Pure,1.0,Maize,594811.9,Improved seeds,0.0,264.0,100.0,26430.0,1.0
175,28001.0,South,Kamonyi,2.0,100202.95,Pure,1.0,Maize,100202.95,Improved seeds,0.0,1300.0,0.0,130000.0,1.0
176,28002.0,South,Kamonyi,1.0,828034.3,Pure,1.0,Paddy rice,828034.3,Improved seeds,0.0,6000.0,250000.0,250000.0,1.0
177,28003.0,South,Kamonyi,1.0,1089728.1,Pure,1.0,Paddy rice,1089728.1,Improved seeds,0.0,3182.0,282853.0,424280.0,1.0
178,28004.0,South,Kamonyi,1.0,767470.5,Pure,1.0,Maize,767470.5,Improved seeds,0.0,2175.0,240000.0,240000.0,1.0
179,31001.0,West,Karongi,1.0,11728.541,Pure,1.0,Macadamia,11728.541,Improved seeds,0.0,0.0,19572.0,21490.0,1.0
180,33001.0,West,Rubavu,2.0,40290.094,Pure,1.0,Cooking banana,40290.094,Improved seeds,0.0,0.0,19200.0,20800.0,1.0
181,33001.0,West,Rubavu,5.0,2674.3035,Pure,1.0,Climbing bean,2674.3035,Improved seeds,0.0,30.0,300.0,300.0,1.0
