,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,crop_name,DAP,N/Ainorganic fertilizer type,NPK 17-17-17,Urea,Lliquid urea,Other inorganic fertilizer (to specify),NPK 20-10-10,KCL/MOP,NPK 25-5-5
282889,22013.0,South,Gisagara,1.0,4576581.0,0,0.0,1,Paddy rice,0.0,0.0,115450.0,884.5,0.0,168.0,0.0,0.0,0.0
285769,22014.0,South,Gisagara,1.0,670168.892818,1,13500.0,1,Paddy rice,0.0,0.0,6000.0,3000.0,0.0,0.0,0.0,0.0,0.0
288649,22015.0,South,Gisagara,1.0,3714484.5,0,0.0,1,Paddy rice,0.0,0.0,38418.0,19209.0,0.0,0.0,0.0,0.0,0.0
291557,23001.0,South,Nyaruguru,1.0,32469.3375267,1,4800.0,1,Irish potato,0.0,0.0,903.0,0.0,0.0,18464.0,0.0,0.0,0.0
294437,23001.0,South,Nyaruguru,4.0,27616.3067142,1,4400.0,1,Irish potato,0.0,0.0,483.5,0.0,0.0,15773.0,0.0,0.0,0.0
297317,23001.0,South,Nyaruguru,5.0,2465.62701713,1,380.0,1,Irish potato,0.0,0.0,84.0,0.0,0.0,2169.6,0.0,0.0,0.0
300197,23001.0,South,Nyaruguru,9.0,2861.67601609,1,460.0,1,Irish potato,0.0,0.0,101.5,0.0,0.0,2621.6,0.0,0.0,0.0
303087,23001.0,South,Nyaruguru,11.0,305.600365228,1,128.0,1,Tree tomato,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305977,24001.0,South,Huye,1.0,542754.125,0,0.0,1,Paddy rice,0.0,0.0,9776.0,4552.0,0.0,0.0,0.0,0.0,0.0
308857,24002.0,South,Huye,1.0,512763.625,0,0.0,1,Paddy rice,0.0,0.0,9200.0,4850.0,0.0,0.0,0.0,0.0,0.0
311689,24004.0,South,Gisagara,1.0,446237.59375,0,0.0,1,Paddy rice,0.0,0.0,2050.0,0.0,2050.0,160.0,0.0,0.0,0.0
317467,24004.0,South,Gisagara,40.0,8813.14879368,1,500.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
320347,24004.0,South,Gisagara,42.0,2754.41644681,1,150.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
340537,24005.0,South,Huye,1.0,395138.21875,1,3000.0,1,Paddy rice,0.0,0.0,3702.0,3560.0,0.0,0.0,0.0,0.0,0.0
343417,24006.0,South,Huye,1.0,1394458.75,1,2375.0,1,Paddy rice,0.0,0.0,10000.0,5000.0,0.0,0.0,0.0,0.0,0.0
346297,24007.0,South,Huye,1.0,1078251.25,0,0.0,1,Paddy rice,0.0,0.0,12000.0,6300.0,0.0,0.0,0.0,0.0,0.0
